00_glossary.msbt

01_msg_with_voice.msbt
mng_cmn_go	ゴー！
sys_start	スタート！
mng_cmn_fnsh	フィニッシュ！
sys_timeup	タイムアップ！
sys_congra	Congratulations!
mng_cmn_win	勝ち
mng_cmn_win_p	勝ち
mng_cmn_draw	ひきわけ
mng_bdr001_rlt01	Sランク　クリア！
mng_bdr001_rlt02	Aランク　クリア！
mng_bdr001_rlt03	Bランク　クリア！
mng_bdr001_rlt04	Cランク！
bdr001_tlp_00	ゴール！
mgx610_00	ゴール！
sys_newrecord_00	ニューレコード
exg001_tlp_01	ニューレコード！
exg004_00_07	ニューレコード！
bds001_star_00	スターゲット！
bds001_star_00_p	スターゲット！
sys_win_vert	勝ち
exg002_win_00	勝ち
sys_draw_vert	ひきわけ
sys_yeah_00	レディ…
sys_yeah_01	Yeah!
exg002_tlp_09	ゲームセット！
exg002_tlp_10	プレイボール！
exg002_tlp_00	ストライク！
exg002_tlp_01	バッターアウト！
exg002_tlp_02	アウト！
exg002_tlp_03	チェンジ！
exg002_tlp_04	ホームラン！
exg002_tlp_05	ヒット！
exg002_tlp_06	ツーベース
exg002_tlp_07	スリーベース
exg002_tlp_05_01	ヒット！
exg002_tlp_08	ファウル!
bdcn001_parfect_000	パーフェクト！
cmn_jewel_00	ジュエルゲット！
ed_telop_00	You are the&#xD;\nSuper Star!
02_handmade_msg.msbt

03_staffcredits.msbt
credit_title_00	Staff Credits
credit_title_01	SUPER MARIO PARTY
credit_copyright_00	Nintendo and NDCUBE are the authors of this&#xD;\nsoftware for the purpose of copyright.&#xD;\nAll rights reserved. © 2018 Nintendo.
credit_end_00	Thank you for playing!
credit_bezel_00	Made with NintendoWare Bezel Engine.
credit_position_00	DIRECTOR
credit_position_01	CHIEF DESIGN DIRECTOR
credit_position_02	DESIGN DIRECTORS
credit_position_03	GAME DESIGN
credit_position_04	CHIEF PROGRAM DIRECTOR
credit_position_05	PROGRAM DIRECTORS
credit_position_06	PROGRAM
credit_position_07	CHIEF ART DIRECTOR
credit_position_08	ART DIRECTORS
credit_position_09	ART
credit_position_10	CHIEF SOUND DIRECTOR
credit_position_11	SOUND DIRECTORS
credit_position_12	MUSIC DIRECTOR
credit_position_13	MUSIC
credit_position_14	SOUND EFFECTS
credit_position_15	SOUND SUPERVISORS
credit_position_16	CHARACTER VOICES
credit_position_17	VOICES
credit_position_18	CHARACTER SUPERVISOR
credit_position_19	ILLUSTRATION
credit_position_20	LOGO DESIGN
credit_position_21	TECHNICAL SUPPORT
credit_position_22	NOA LOCALIZATION MANAGEMENT
credit_position_23	NOA LOCALIZATION
credit_position_24	NOA COPY EDITING
credit_position_25	NOE LOCALISATION PRODUCERS
credit_position_26	NOE TRANSLATION
credit_position_27	NHL LOCALIZATION
credit_position_29	iQue LOCALIZATION
credit_position_30	NOK LOCALIZATION
credit_position_32	TESTING
credit_position_33	NOA PRODUCT TESTING
credit_position_34	NOE QUALITY ASSURANCE
credit_position_35	SPECIAL THANKS
credit_position_36	COORDINATION
credit_position_37	PROJECT MANAGER
credit_position_38	ASSOCIATE PRODUCER
credit_position_39	PRODUCERS
credit_position_40	GENERAL PRODUCERS
credit_position_41	EXECUTIVE PRODUCER
credit_name_00_00	Shuichiro Nishiya
credit_name_01_00	Tatsumitsu Watanabe
credit_name_02_00	Takeru Sugimoto
credit_name_02_01	Yoshitsugu Tamaoki
credit_name_02_02	Yuki Maruyama
credit_name_02_03	Atsushi Nakao
credit_name_02_04	Satoru Imamura
credit_name_02_05	Takaki Kobayashi
credit_name_02_06	Fumihisa Sato
credit_name_03_00	Hayato Minagawa
credit_name_03_01	Natsuki Sato
credit_name_03_02	Yukiko Nakata
credit_name_03_03	Hirotaka Uchida
credit_name_03_04	Natsumi Hirata
credit_name_03_05	Katsuya Ishii
credit_name_03_06	Toyokazu Ozaki
credit_name_03_07	Takeshi Sakai
credit_name_03_08	Ryo Yokomizo
credit_name_03_09	Makoto Eguchi
credit_name_03_10	Hiroyuki Seki
credit_name_03_11	Yuya Rokuyama
credit_name_03_12	Miyuki Sakaguchi
credit_name_03_13	Kunio Asahara
credit_name_03_14	Masafumi Ojika
credit_name_03_15	Ayumu Kawashiro
credit_name_03_16	Hideki Izumi
credit_name_03_17	Yuka Murata
credit_name_03_18	Hiroshi Kurimoto
credit_name_03_19	Shigeyasu Ohashi
credit_name_03_20	Yukako Kawauchi
credit_name_03_21	Ryota Saruwatari
credit_name_03_22	Hiroshi Nosaka
credit_name_03_23	Norihito Shima
credit_name_04_00	Yuhei Tsukami
credit_name_05_00	Akira Matsumoto
credit_name_05_01	Haruhiko Tanuma
credit_name_06_00	Masayuki Shinohara
credit_name_06_01	Yuki Konno
credit_name_06_02	Hisashi Yoshida
credit_name_06_03	Tatsuo Yamajiri
credit_name_06_04	Shinichi Hiramori
credit_name_06_05	Yuya Kumagai
credit_name_06_06	Kentaro Tanaka
credit_name_06_07	Shinji Shibasaki
credit_name_06_08	Satoshi Ezaki
credit_name_06_09	Takuya Fujimoto
credit_name_06_10	Momoka Kanaya
credit_name_06_11	Izumi Fukuda
credit_name_06_12	Takashi Iwanaga
credit_name_06_13	Kenji Oohira
credit_name_06_14	Tadao Shoyama
credit_name_06_15	Akihiro Terada
credit_name_06_16	Yasutaka Ikeda
credit_name_06_17	Norihumi Hira
credit_name_06_18	Tomoaki Tanaka
credit_name_06_19	Daizo Yamauchi
credit_name_06_20	Nobuya Wada
credit_name_06_21	Kana Mizota
credit_name_06_22	Takahiro Matsumoto
credit_name_06_23	Sayaka Fukuyama
credit_name_06_24	Hikaru Hino
credit_name_06_25	Souichiro Yamamoto
credit_name_06_26	Satoshi Sakaguchi
