00_glossary.msbt

01_msg_with_voice.msbt
mng_cmn_go	GO!
sys_start	START!
mng_cmn_fnsh	FINISH!
sys_timeup	Time's Up!
sys_congra	Congratulations!
mng_cmn_win	Wins!
mng_cmn_win_p	Win!
mng_cmn_draw	It's a Tie!
mng_bdr001_rlt01	S-Rank Clear!
mng_bdr001_rlt02	A-Rank Clear!
mng_bdr001_rlt03	B-Rank Clear!
mng_bdr001_rlt04	C-Rank!
bdr001_tlp_00	Goal!
mgx610_00	Goal!
sys_newrecord_00	New Record!
exg001_tlp_01	New Record!
exg004_00_07	New Record!
bds001_star_00	You Got a Star!
bds001_star_00_p	You Got Stars!
sys_win_vert	Winner!
exg002_win_00	Winner!
sys_draw_vert	It's a Tie!
sys_yeah_00	Ready...
sys_yeah_01	Yeah!
exg002_tlp_09	Game!
exg002_tlp_10	Play Ball!
exg002_tlp_00	Strike!
exg002_tlp_01	You're Out!
exg002_tlp_02	Out!
exg002_tlp_03	Change!
exg002_tlp_04	Home Run!
exg002_tlp_05	Hit!
exg002_tlp_06	Double!
exg002_tlp_07	Triple!
exg002_tlp_05_01	Foul Ball!
bdcn001_parfect_000	Perfect!
cmn_jewel_00	You Got a Gem!
ed_telop_00	You Are the&#xD;\nSuper Star!
02_handmade_msg.msbt

03_staffcredits.msbt
credit_title_00	Staff
credit_title_01	SUPER MARIO PARTY
credit_copyright_00	Nintendo and NDCUBE are the authors of this&#xD;\nsoftware for the purpose of copyright.&#xD;\nAll rights reserved. © 2018 Nintendo.
credit_end_00	Thanks for playing!
credit_bezel_00	Made with NintendoWare Bezel Engine.
credit_position_00	DIRECTOR
credit_position_01	CHIEF DESIGN DIRECTOR
credit_position_02	DESIGN DIRECTORS
credit_position_03	GAME DESIGN
credit_position_04	CHIEF PROGRAM DIRECTOR
credit_position_05	PROGRAM DIRECTORS
credit_position_06	PROGRAM
credit_position_07	CHIEF ART DIRECTOR
credit_position_08	ART DIRECTORS
credit_position_09	ART
credit_position_10	CHIEF SOUND DIRECTOR
credit_position_11	SOUND DIRECTORS
credit_position_12	MUSIC DIRECTOR
credit_position_13	MUSIC
credit_position_14	SOUND EFFECTS
credit_position_15	SOUND SUPERVISORS
credit_position_16	CHARACTER VOICES
credit_position_17	VOICES
credit_position_18	CHARACTER SUPERVISOR
credit_position_19	ILLUSTRATION
credit_position_20	LOGO DESIGN
credit_position_21	TECHNICAL SUPPORT
credit_position_22	NOA LOCALIZATION MANAGEMENT
credit_position_23	NOA LOCALIZATION
credit_position_24	NOA COPY EDITING
credit_position_25	NOE LOCALISATION PRODUCERS
credit_position_26	NOE TRANSLATION
credit_position_27	NHL LOCALIZATION
credit_position_29	iQue LOCALIZATION
credit_position_30	NOK LOCALIZATION
credit_position_32	TESTING
credit_position_33	NOA PRODUCT TESTING
credit_position_34	NOE QUALITY ASSURANCE
credit_position_35	SPECIAL THANKS
credit_position_36	COORDINATION
credit_position_37	PROJECT MANAGER
credit_position_38	ASSOCIATE PRODUCER
credit_position_39	PRODUCERS
credit_position_40	GENERAL PRODUCERS
credit_position_41	EXECUTIVE PRODUCER
credit_name_00_00	Shuichiro Nishiya
credit_name_01_00	Tatsumitsu Watanabe
credit_name_02_00	Takeru Sugimoto
credit_name_02_01	Yoshitsugu Tamaoki
credit_name_02_02	Yuki Maruyama
credit_name_02_03	Atsushi Nakao
credit_name_02_04	Satoru Imamura
credit_name_02_05	Takaki Kobayashi
credit_name_02_06	Fumihisa Sato
credit_name_03_00	Hayato Minagawa
credit_name_03_01	Natsuki Sato
credit_name_03_02	Yukiko Nakata
credit_name_03_03	Hirotaka Uchida
credit_name_03_04	Natsumi Hirata
credit_name_03_05	Katsuya Ishii
credit_name_03_06	Toyokazu Ozaki
credit_name_03_07	Takeshi Sakai
credit_name_03_08	Ryo Yokomizo
credit_name_03_09	Makoto Eguchi
credit_name_03_10	Hiroyuki Seki
credit_name_03_11	Yuya Rokuyama
